B02,,,,,,,,,,,,,,,,,,,,,,,,,,,
06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A,06A
07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,06A
07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,07A,07A,07A,07A,06A
07A,07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,07A,07A,07A,07A,06A
07A,07A,07A,07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,07A,07A,07A,07A,06A
07A,07A,07A,07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,07A,07A,07A,07A,06A
07A,07A,07A,07A,07A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,07A,07A,07A,07A,07A,06A
