G00,,,,,,,,,,,,,,,,,,,,,,,,,,,
04A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,09A,07A,07A,07A,07A,07A,07A,07A,07A,07A,07A,07A,07A,07A
04A,07A,07A,07A,07A,09A,09A,09A,09A,09A,09A,09A,09A,09A,02A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
04A,03A,07A,07A,01A,02A,09A,09A,09A,09A,09A,09A,09A,09A,02A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
04A,03A,01A,01A,01A,01A,02A,09A,09A,09A,09A,09A,09A,09A,02A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
04A,03A,01A,01A,01A,01A,01A,02A,09A,09A,09A,09A,09A,02A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
04A,03A,01A,01A,01A,01A,01A,01A,02A,02A,02A,02A,02A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
03A,03A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
03A,03A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
03A,03A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
03A,03A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
03A,03A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
03A,03A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
04A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
04A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A,01A
