R01,,,,,,,,,,,,,,,,,,,,,,,,,,,
08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,05A,05A,05A,08A,08A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,05A,05A,05A,05A,08A,08A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,08A,08A,08A,08A,08A,08A,08A,08A,05A,05A,06A,05A,05A,08A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,08A,08A,08A,08A,08A,08A,05A,05A,05A,06A,05A,05A,08A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,08A,08A,08A,08A,05A,05A,05A,05A,06A,05A,05A,08A,08A,08A,08A
05A,05A,05A,06A,05A,06A,05A,06A,05A,05A,05A,05A,08A,08A,08A,08A,05A,05A,05A,06A,05A,06A,05A,05A,08A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,05A,05A,05A,05A,06A,05A,06A,05A,05A,08A,08A,08A,08A
05A,05A,05A,06A,05A,06A,05A,06A,05A,05A,05A,05A,05A,08A,08A,05A,05A,05A,05A,06A,05A,06A,05A,05A,08A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,08A,05A,05A,05A,05A,06A,05A,06A,05A,05A,08A,08A,08A,08A
05A,05A,05A,06A,05A,06A,05A,06A,05A,05A,05A,05A,08A,08A,05A,05A,05A,05A,05A,06A,05A,06A,05A,05A,05A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A
