Y02,,,,,,,,,,,,,,,,,,,,,,,,,,,
T08A,T10A,T10A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A
T08A,T10A,T10A,T03A,T03A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A
T08A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T03A,T03A,T03A,T03A,T03A,T03A,T05A,T05A,T05A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T05A,T03A,T08A,T08A,T08A,T08A,T08A,T08A,T03A,T05A,T05A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T05A,T05A,T05A,T05A,T03A,T08A,T08A,T04A,T04A,T04A,T04A,T08A,T08A,T03A,T05A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T05A,T05A,T03A,T08A,T08A,T04A,T03A,T03A,T03A,T03A,T04A,T08A,T08A,T03A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T05A,T03A,T08A,T08A,T04A,T03A,T03A,T03A,T03A,T04A,T08A,T08A,T03A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T03A,T08A,T08A,T04A,T03A,T03A,T03A,T03A,T04A,T08A,T08A,T03A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T03A,T08A,T08A,T08A,T04A,T03A,T03A,T03A,T04A,T08A,T08A,T03A,T05A,T05A
T08A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T10A,T03A,T03A,T05A,T05A,T03A,T08A,T08A,T08A,T04A,T03A,T04A,T08A,T08A,T03A,T05A,T05A,T05A
