Y04,,,,,,,,,,,,,,,,,,,,,,,,,,,
10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A,04A
10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,08A,08A,10A,10A,10A,10A,10A,10A,10A,04A
10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,08A,08A,10A,10A,10A,10A,10A,10A,10A,05A
10A,10A,10A,03A,03A,03A,08A,08A,08A,08A,08A,08A,08A,10A,10A,10A,10A,08A,08A,08A,07A,07A,07A,03A,03A,10A,10A,05A
10A,10A,10A,03A,03A,03A,07A,07A,08A,08A,03A,03A,03A,10A,10A,10A,08A,08A,03A,03A,07A,08A,08A,03A,03A,10A,10A,05A
10A,10A,10A,03A,03A,03A,08A,07A,03A,03A,03A,03A,03A,07A,07A,10A,08A,03A,03A,03A,03A,08A,08A,10A,07A,10A,10A,05A
10A,10A,10A,10A,08A,08A,08A,08A,03A,03A,03A,03A,10A,10A,07A,07A,03A,03A,03A,03A,03A,03A,10A,10A,07A,10A,10A,05A
10A,10A,10A,10A,08A,08A,08A,03A,03A,03A,03A,10A,10A,10A,10A,10A,03A,03A,03A,03A,03A,03A,10A,10A,07A,07A,10A,05A
10A,10A,10A,10A,10A,08A,08A,03A,03A,03A,03A,10A,10A,10A,10A,10A,10A,03A,03A,03A,03A,10A,10A,10A,10A,07A,10A,05A
10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,07A,05A,05A
10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,05A,05A,05A
05A,05A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,07A,07A,07A,07A,10A,10A,10A,10A,10A,10A,05A,05A,05A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A
05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A,08A,08A,05A,05A,05A,05A,05A,05A,05A,05A,05A,05A
